,x,y,yf
408,408,2071,0.44152284769377026
409,409,2072,-0.19222207930055557
410,410,2072,-1.7694632814971634
411,411,2073,-2.2857776425871763
412,412,2073,-3.736909427209766
413,413,2073,-5.118790157067739
414,414,2074,-5.427536392573458
415,415,2075,-5.659505414359149
416,416,2078,-3.81128089779187
417,417,2081,-1.8797005145224701
418,418,2083,-0.8618612767986544
419,419,2084,-0.7551186192017063
420,420,2084,-1.5571005911687177
421,421,2084,-2.265731753412445
422,422,2085,-1.879202739009747
423,423,2087,-0.39599213021908586
424,424,2091,3.185128603104931
425,425,2094,5.865053870593824
426,426,2096,7.64437851786772
427,427,2097,8.523380129735969
428,428,2097,8.502050456028412
429,429,2098,9.58009581483217
430,430,2099,10.75693323306762
431,431,2100,12.031682318037713
432,432,2102,14.403158174678383
433,433,2102,14.869838643468995
434,434,2102,15.429917840677541
435,435,2102,16.081318119936764
436,436,2102,16.82168706971172
437,437,2101,16.648400855142373
438,438,2101,17.558605846940335
439,439,2099,16.549143819084577
440,440,2095,13.616638007011218
441,441,2092,11.757473241905847
442,442,2087,7.9678141309084465
443,443,2083,5.243671873213001
444,444,2078,1.5808384002584792
445,445,2073,-2.0250240807125013
446,446,2069,-4.578394431252395
447,447,2065,-7.083898185438761
448,448,2061,-9.546275271085362
449,449,2057,-11.970379313582654
450,450,2052,-15.361176597499657
451,451,2048,-17.723675473702965
452,452,2044,-20.062951586113975
453,453,2040,-22.384087526045597
454,454,2038,-22.692160415808658
455,455,2038,-20.992245622609765
456,456,2037,-20.289415176987625
457,457,2036,-19.58870426738757
458,458,2035,-18.895099449769116
459,459,2034,-18.213463287738925
460,460,2034,-16.54849150287547
461,461,2033,-15.90470808143256
462,462,2033,-14.286497947526327
463,463,2033,-12.698256740107542
464,464,2034,-10.144454899407357
465,465,2034,-8.629701521067034
466,466,2034,-7.158611028560077
467,467,2033,-6.73571869256428
468,468,2034,-4.365285509587744
469,469,2034,-3.0511795215005417
470,470,2033,-2.7967323896349177
471,471,2033,-1.604693803567713
472,472,2033,-0.4772941263911582
473,473,2033,0.5836653961932853
474,474,2033,1.5766421432781734
475,475,2033,2.500250776251421
476,476,2033,3.3531937998873635
477,477,2034,5.134292964854032
478,478,2035,6.842551554907141
479,479,2036,8.477215574667309
480,480,2037,10.037790958339993
481,481,2036,9.524054225199238
482,482,2035,8.936094135090686
483,483,2034,8.274309739888924
484,484,2034,8.539455539976892
485,485,2034,8.732664378963987
486,486,2035,9.85537840914712
487,487,2036,10.909214434905806
488,488,2036,10.895849104715529
489,489,2036,10.816956188254673
490,490,2035,9.674175223452417
491,491,2035,9.469213415383619
492,492,2035,9.203984964532687
493,493,2035,8.880718721889469
494,494,2035,8.502081832235215
495,495,2034,7.071217424023284
496,496,2034,6.591733371041286
497,497,2034,6.067604282870885
498,498,2034,5.503050480134849
499,499,2033,3.902362117573059
500,500,2033,3.269818332324556
501,501,2033,2.609584624391899
502,502,2033,1.9258023062637109
503,503,2034,2.2226249068108506
504,504,2034,1.5042227403252588
505,505,2035,1.7748248614348534
506,506,2034,0.03864363090758349
507,507,2034,-0.7000832681210407
508,508,2033,-2.437168110197086
509,509,2034,-2.168468295554182
510,510,2035,-1.8899132824998985
